document_name,section_name,sample_file,relative_path,helper_text,sample_instruction,important_visible_fields,priority_level
Candidate Photograph,01_Student_Profile_Identity,candidate_photograph_sample.png,01_Student_Profile_Identity/candidate_photograph_sample.png,Candidate's passport-size photograph with clear face and plain background.,"Upload a clear passport-size photograph. Face should be visible, not cropped, and background should be simple.",Full face | Plain background | No sunglasses or filters | Recent photo (within 6 months),1
Candidate PAN Card,01_Student_Profile_Identity,candidate_pan_card_sample.png,01_Student_Profile_Identity/candidate_pan_card_sample.png,Clear front-side image or PDF of the candidate's PAN card.,"Upload a readable PAN card copy where name, PAN number, and date of birth are clearly visible.",PAN number (10 characters) | Name | Father's name | Date of birth | Photograph | Signature,1
Candidate Aadhaar Card,01_Student_Profile_Identity,candidate_aadhaar_card_sample.png,01_Student_Profile_Identity/candidate_aadhaar_card_sample.png,Clear Aadhaar card copy of the candidate. Front and back if available.,Upload a readable Aadhaar copy. Masking can be accepted if current business rules allow it.,12-digit Aadhaar number | Name | Date of birth | Gender | Photograph | Address (back side) | QR code (back side),1
Passport,01_Student_Profile_Identity,passport_sample.png,01_Student_Profile_Identity/passport_sample.png,Passport first and last page showing identity and address details.,"Upload clear passport pages showing candidate identity, passport number, validity, and address details.",Passport number | Name | Date of birth | Nationality | Date of issue | Date of expiry | Photograph | MRZ band,1
10th Marksheet,02_Education_Academic_History,10th_marksheet_sample.png,02_Education_Academic_History/10th_marksheet_sample.png,"Class 10 marksheet showing student name, board, year, and marks clearly.","Upload a readable 10th marksheet with student name, passing year, board, and marks visible.",Student name | Board name | Roll number | Passing year | Subject-wise marks | Total marks / percentage | Result,2
12th Marksheet,02_Education_Academic_History,12th_marksheet_sample.png,02_Education_Academic_History/12th_marksheet_sample.png,"Class 12 marksheet showing student name, board, year, and marks clearly.","Upload a readable 12th marksheet with student name, passing year, board, and marks visible.",Student name | Board name | Stream | Roll number | Passing year | Subject-wise marks | Total / percentage | Result,2
Graduation Marksheet,02_Education_Academic_History,graduation_marksheet_sample.png,02_Education_Academic_History/graduation_marksheet_sample.png,Latest or consolidated graduation marksheet.,"Upload the latest semester or consolidated graduation marksheet showing student name, university, course, and marks/CGPA.",Student name | University name | Course / programme | Semester or year | Course-wise grades | SGPA / CGPA | Result,2
Graduation Degree Certificate,02_Education_Academic_History,graduation_degree_certificate_sample.png,02_Education_Academic_History/graduation_degree_certificate_sample.png,Final graduation degree certificate issued by the university.,Upload the final degree certificate if issued by the university.,University name | Student name | Degree awarded | Completion year | Certificate number | Seal | Signature,2
Post-Graduation Marksheet,02_Education_Academic_History,post_graduation_marksheet_sample.png,02_Education_Academic_History/post_graduation_marksheet_sample.png,"Post-graduation marksheet, if applicable.",Upload post-graduation marksheet only if applicable to the candidate's academic profile.,Student name | University name | Programme | Semester or year | Course-wise grades | SGPA / CGPA | Result,2
Post-Graduation Degree Certificate,02_Education_Academic_History,post_graduation_degree_certificate_sample.png,02_Education_Academic_History/post_graduation_degree_certificate_sample.png,"Post-graduation degree certificate, if applicable.",Upload post-graduation degree certificate only if applicable.,University name | Student name | Degree awarded | Completion year | Certificate number | Seal | Signature,2
Admission/Offer Letter,03_Admission_Study_Intent,admission_offer_letter_sample.png,03_Admission_Study_Intent/admission_offer_letter_sample.png,Official offer/admission letter from the university or institution.,"Upload the official admission or offer letter showing university name, course, intake, and student name.",Institution header | Student name | Programme | Intake | Campus / country | Offer status | Reference number | Signature,3
I-20/CAS/CoE,03_Admission_Study_Intent,i20_cas_coe_sample.png,03_Admission_Study_Intent/i20_cas_coe_sample.png,"Country-specific admission confirmation document: I-20 for USA, CAS for UK, CoE for Australia.","Upload the applicable country-specific confirmation document. I-20 for USA, CAS for UK, CoE for Australia.",Document type (I-20 / CAS / CoE) | Student name | Institution | Programme start date | Reference number (SEVIS / CAS / CoE) | Country tag,3
